index	score	id
1004	2.000	PINK1
1005	2.000	PIP4K2B
1006	2.000	PIP5K1A
1007	2.000	PIP5K1C
1008	2.000	PKIB
1009	2.000	PLD1
1010	2.000	POLN
1011	2.000	POU5F1
1012	2.000	PPAP2A
1013	2.000	PPAP2B
1014	2.000	PPM1A
1015	2.000	PPP1CA
1016	2.000	PPP1R1A
1017	2.000	PPP1R8
1018	2.000	PPP2R2A
1019	2.000	PPP2R2D
1020	2.000	PPP2R3A
1021	2.000	PPP2R5E
1022	2.000	PPP3CC
1023	2.000	PPP3R2
1024	2.000	PPP4C
1025	2.000	PPP5C
1026	2.000	PPRC1
1027	2.000	PRCC
1028	2.000	PREX2
1029	2.000	PRKAA1
1030	2.000	PRKAA2
1031	2.000	PRKAB1
1032	2.000	PRKAB2
1033	2.000	PRKAR1B
1034	2.000	PRKCSH
1035	2.000	PRKD2
1036	2.000	PRMT2
1037	2.000	PRMT3
1038	2.000	PRMT5
1039	2.000	PRMT6
1040	2.000	PRMT7
1041	2.000	PRSS7
1042	2.000	PSIP1
1043	2.000	PSPH
1044	2.000	PSTK
1045	2.000	PTPLAD2
1046	2.000	PTPMT1
1047	2.000	PTPRE
1048	2.000	PTPRH
1049	2.000	PTPRU
1050	2.000	PXN
1051	2.000	RAB33A
1052	2.000	RAB38
1053	2.000	RABEP1
1054	2.000	RABL2B
1055	2.000	RALGDS
1056	2.000	RASA3
1057	2.000	RBM15
1058	2.000	RHOD
1059	2.000	RHOG
1060	2.000	RHOH
1061	2.000	RHOJ
1062	2.000	RIF1
1063	2.000	RNASE1
1064	2.000	RORB
1065	2.000	RPS6
1066	2.000	RPS6KA4
1067	2.000	RPS6KA5
1068	2.000	RPS6KC1
1069	2.000	RRAD
1070	2.000	RRAS2
1071	2.000	SACS
1072	2.000	SBDS
1073	2.000	SENP6
1074	2.000	SEPT6
1075	2.000	SET
1076	2.000	SETD1A
1077	2.000	SFPQ
1078	2.000	SH3GL1
1079	2.000	SH3KBP1
1080	2.000	SHH
1081	2.000	SIK1
1082	2.000	SIRT2
1083	2.000	SMC2
1084	2.000	SMG1
1085	2.000	SMURF1
1086	2.000	SMYD2
1087	2.000	SRPK3
1088	2.000	SS18L1
1089	2.000	SSX1
1090	2.000	STAT5A
1091	2.000	STAT5B
1092	2.000	STK24
1093	2.000	STK32C
1094	2.000	SUZ12
1095	2.000	TAF15
1096	2.000	TAL2
1097	2.000	TAOK1
1098	2.000	TCEA1
1099	2.000	TCL6
1100	2.000	TEC
1101	2.000	TET1
1102	2.000	TEX14
1103	2.000	TFAM
1104	2.000	TGFB1
1105	2.000	TGM3
1106	2.000	THRAP3
1107	2.000	TIMP3
1108	2.000	TK2
1109	2.000	TLN1
1110	2.000	TLR3
1111	2.000	TLR9
1112	2.000	TNFRSF9
1113	2.000	TNKS2
1114	2.000	TNNI3K
1115	2.000	TPTE2
1116	2.000	TRIM36
1117	2.000	TRIM42
1118	2.000	TRIO
1119	2.000	TRIP12
1120	2.000	TRPS1
1121	2.000	TTBK1
1122	2.000	TTL
1123	2.000	TTN
1124	2.000	UBE2D2
1125	2.000	UBE2E1
1126	2.000	UBE3C
1127	2.000	UCHL1
1128	2.000	UHRF2
1129	2.000	USP42
1130	2.000	USP6
1131	2.000	VPS13B
1132	2.000	VRK2
1133	2.000	WAS
1134	2.000	WEE1
1135	2.000	WHSC1
1136	2.000	WIF1
1137	2.000	WNK2
1138	2.000	WNK4
1139	2.000	YES1
1140	2.000	YWHAQ
1141	2.000	ZFYVE9
1142	2.000	ZNF608
1143	2.000	ZNF668
1144	1.750	CAMKK2
1145	1.750	CASP2
1146	1.750	CCR5
1147	1.750	CDH2
1148	1.750	CDK5R1
1149	1.750	DCLK1
1150	1.750	DKK1
1151	1.750	FER
1152	1.750	GLI2
1153	1.750	GNAZ
1154	1.750	KDM5D
1155	1.750	MAPK7
1156	1.750	MYT1
1157	1.750	NGF
1158	1.750	PIK3R3
1159	1.750	PPP2R2C
1160	1.750	PRKAR2B
1161	1.750	RBL1
1162	1.750	SRF
1163	1.750	TGFB2
1164	1.750	TNFRSF11B
1165	1.500	BRD8
1166	1.500	BTK
1167	1.500	CALM2
1168	1.500	CALM3
1169	1.500	CAMK1D
1170	1.500	CAMK2N1
1171	1.500	CAMKV
1172	1.500	CASP7
1173	1.500	CBLB
1174	1.500	CCNB1
1175	1.500	CDC42BPA
1176	1.500	CDK5
1177	1.500	CDKL2
1178	1.500	CNKSR2
